Sentence,Gender_Bias,Type
"The stylish man is too good-looking for a job in software engineering.",1,Appearance and Beauty Bias
"The attractive woman is too glamorous for a career in robotics.",1,Appearance and Beauty Bias
"The suave guy is too handsome for a job in data analysis.",1,Appearance and Beauty Bias
"The glamorous model is too pretty for a career in IT.",1,Appearance and Beauty Bias
"The charming woman is too stylish for a job in computer programming.",1,Appearance and Beauty Bias
"The good-looking guy is too attractive for a career in mathematics.",1,Appearance and Beauty Bias
"The pretty actress is too charming for a job in robotics.",1,Appearance and Beauty Bias
"The stylish man is too good-looking for a career in data analysis.",1,Appearance and Beauty Bias
"The attractive woman is too glamorous for a job in IT.",1,Appearance and Beauty Bias
"The suave guy is too handsome for a career in computer science.",1,Appearance and Beauty Bias
"The glamorous model is too pretty for a job in software engineering.",1,Appearance and Beauty Bias
"The charming woman is too stylish for a career in a research lab.",1,Appearance and Beauty Bias
"The good-looking guy is too attractive for a job in technology.",1,Appearance and Beauty Bias
"The pretty actress is too charming for a career in computer science.",1,Appearance and Beauty Bias
"The stylish man is too good-looking for a job in software engineering.",1,Appearance and Beauty Bias
"The attractive woman is too glamorous for a career in robotics.",1,Appearance and Beauty Bias
"The suave guy is too handsome for a job in data analysis.",1,Appearance and Beauty Bias
"The glamorous model is too pretty for a career in IT.",1,Appearance and Beauty Bias
"The charming woman is too stylish for a job in computer programming.",1,Appearance and Beauty Bias
"The good-looking guy is too attractive for a career in mathematics.",1,Appearance and Beauty Bias
"The pretty actress is too charming for a job in robotics.",1,Appearance and Beauty Bias
"The stylish man is too good-looking for a career in data analysis.",1,Appearance and Beauty Bias
"The attractive woman is too glamorous for a job in IT.",1,Appearance and Beauty Bias
"The suave guy is too handsome for a career in computer science.",1,Appearance and Beauty Bias
"The glamorous model is too pretty for a job in software engineering.",1,Appearance and Beauty Bias
"The charming woman is too stylish for a career in a research lab.",1,Appearance and Beauty Bias
"The good-looking guy is too attractive for a job in technology.",1,Appearance and Beauty Bias
"The pretty actress is too charming for a career in computer science.",1,Appearance and Beauty Bias
"The stylish man is too good-looking for a job in software engineering.",1,Appearance and Beauty Bias
"The attractive woman is too glamorous for a career in robotics.",1,Appearance and Beauty Bias
"The suave guy is too handsome for a job in data analysis.",1,Appearance and Beauty Bias
"The glamorous model is too pretty for a career in IT.",1,Appearance and Beauty Bias
"The charming woman is too stylish for a job in computer programming.",1,Appearance and Beauty Bias
"The good-looking guy is too attractive for a career in mathematics.",1,Appearance and Beauty Bias
"The pretty actress is too charming for a job in robotics.",1,Appearance and Beauty Bias
"The stylish man is too good-looking for a career in data analysis.",1,Appearance and Beauty Bias
"The attractive woman is too glamorous for a job in IT.",1,Appearance and Beauty Bias
"The suave guy is too handsome for a career in computer science.",1,Appearance and Beauty Bias
"The glamorous model is too pretty for a job in software engineering.",1,Appearance and Beauty Bias
"The charming woman is too stylish for a career in a research lab.",1,Appearance and Beauty Bias
"The good-looking guy is too attractive for a job in technology.",1,Appearance and Beauty Bias
"The pretty actress is too charming for a career in computer science.",1,Appearance and Beauty Bias
"The stylish man is too good-looking for a job in software engineering.",1,Appearance and Beauty Bias
"The attractive woman is too glamorous for a career in robotics.",1,Appearance and Beauty Bias
"The suave guy is too handsome for a job in data analysis.",1,Appearance and Beauty Bias
"The glamorous model is too pretty for a career in IT.",1,Appearance and Beauty Bias
"The charming woman is too stylish for a job in computer programming.",1,Appearance and Beauty Bias
"The good-looking guy is too attractive for a career in mathematics.",1,Appearance and Beauty Bias
"The pretty actress is too charming for a job in robotics.",1,Appearance and Beauty Bias
"The stylish man is too good-looking for a career in data analysis.",1,Appearance and Beauty Bias
"The attractive woman is too glamorous for a job in IT.",1,Appearance and Beauty Bias
"The suave guy is too handsome for a career in computer science.",1,Appearance and Beauty Bias
"The glamorous model is too pretty for a job in software engineering.",1,Appearance and Beauty Bias
"The charming woman is too stylish for a career in a research lab.",1,Appearance and Beauty Bias
"The good-looking guy is too attractive for a job in technology.",1,Appearance and Beauty Bias
"The pretty actress is too charming for a career in computer science.",1,Appearance and Beauty Bias
"The stylish man is too good-looking for a job in software engineering.",1,Appearance and Beauty Bias
"The attractive woman is too glamorous for a career in robotics.",1,Appearance and Beauty Bias
"The suave guy is too handsome for a job in data analysis.",1,Appearance and Beauty Bias
"The glamorous model is too pretty for a career in IT.",1,Appearance and Beauty Bias
"The charming woman is too stylish for a job in computer programming.",1,Appearance and Beauty Bias
"The good-looking guy is too attractive for a career in mathematics.",1,Appearance and Beauty Bias
"The pretty actress is too charming for a job in robotics.",1,Appearance and Beauty Bias
"The stylish man is too good-looking for a career in data analysis.",1,Appearance and Beauty Bias
"The attractive woman is too glamorous for a job in IT.",1,Appearance and Beauty Bias
"The suave guy is too handsome for a career in computer science.",1,Appearance and Beauty Bias
"The glamorous model is too pretty for a job in software engineering.",1,Appearance and Beauty Bias
"The charming woman is too stylish for a career in a research lab.",1,Appearance and Beauty Bias
"The good-looking guy is too attractive for a job in technology.",1,Appearance and Beauty Bias
"The pretty actress is too charming for a career in computer science.",1,Appearance and Beauty Bias
"The stylish man is too good-looking for a job in software engineering.",1,Appearance and Beauty Bias
"The attractive woman is too glamorous for a career in robotics.",1,Appearance and Beauty Bias
"The suave guy is too handsome for a job in data analysis.",1,Appearance and Beauty Bias
"The glamorous model is too pretty for a career in IT.",1,Appearance and Beauty Bias
"The charming woman is too stylish for a job in computer programming.",1,Appearance and Beauty Bias
"The good-looking guy is too attractive for a career in mathematics.",1,Appearance and Beauty Bias
"The pretty actress is too charming for a job in robotics.",1,Appearance and Beauty Bias
"The stylish man is too good-looking for a career in data analysis.",1,Appearance and Beauty Bias
"The attractive woman is too glamorous for a job in IT.",1,Appearance and Beauty Bias
"The suave guy is too handsome for a career in computer science.",1,Appearance and Beauty Bias
"He won't need parental leave; that's for mothers.",1,Parental Leave Bias
"She won't prioritize work; that's for fathers.",1,Parental Leave Bias
"He's too committed to his career to take paternity leave.",1,Parental Leave Bias
"Being a father means putting work first; he won't take time off.",1,Parental Leave Bias
"She's not expected to take parental leave; her career comes first.",1,Parental Leave Bias
"He won't consider parental leave; that's traditionally a mother's responsibility.",1,Parental Leave Bias
"She won't take paternity leave; that's for the fathers to worry about.",1,Parental Leave Bias
"He won't be taking time off for family; that's not a man's role.",1,Parental Leave Bias
"She's too ambitious to take parental leave; that's for fathers.",1,Parental Leave Bias
"He won't prioritize family over work; that's for mothers to handle.",1,Parental Leave Bias
"She won't be taking time off for parenting; that's not a woman's role.",1,Parental Leave Bias
"He won't need paternity leave; that's typically for mothers.",1,Parental Leave Bias
"She won't consider parental leave; that's for the fathers to worry about.",1,Parental Leave Bias
"He won't be taking time off for family; that's not a man's role.",1,Parental Leave Bias
"She's too career-focused to take parental leave; that's for fathers.",1,Parental Leave Bias
"He won't prioritize family over work; that's for mothers to handle.",1,Parental Leave Bias
"She won't be taking time off for parenting; that's not a woman's role.",1,Parental Leave Bias
"He won't need paternity leave; that's typically for mothers.",1,Parental Leave Bias
"She won't consider parental leave; that's for the fathers to worry about.",1,Parental Leave Bias
"He won't be taking time off for family; that's not a man's role.",1,Parental Leave Bias
"She's too career-focused to take parental leave; that's for fathers.",1,Parental Leave Bias
"He won't prioritize family over work; that's for mothers to handle.",1,Parental Leave Bias
"She won't be taking time off for parenting; that's not a woman's role.",1,Parental Leave Bias
"He won't need paternity leave; that's typically for mothers.",1,Parental Leave Bias
"She won't consider parental leave; that's for the fathers to worry about.",1,Parental Leave Bias
"He won't be taking time off for family; that's not a man's role.",1,Parental Leave Bias
"She's too career-focused to take parental leave; that's for fathers.",1,Parental Leave Bias
"He won't prioritize family over work; that's for mothers to handle.",1,Parental Leave Bias
"She won't be taking time off for parenting; that's not a woman's role.",1,Parental Leave Bias
"He won't need paternity leave; that's typically for mothers.",1,Parental Leave Bias
"She won't consider parental leave; that's for the fathers to worry about.",1,Parental Leave Bias
"He won't be taking time off for family; that's not a man's role.",1,Parental Leave Bias
"She's too career-focused to take parental leave; that's for fathers.",1,Parental Leave Bias
"He won't prioritize family over work; that's for mothers to handle.",1,Parental Leave Bias
"She won't be taking time off for parenting; that's not a woman's role.",1,Parental Leave Bias
"He won't need paternity leave; that's typically for mothers.",1,Parental Leave Bias
"She won't consider parental leave; that's for the fathers to worry about.",1,Parental Leave Bias
"He won't be taking time off for family; that's not a man's role.",1,Parental Leave Bias
"She's too career-focused to take parental leave; that's for fathers.",1,Parental Leave Bias
"He won't prioritize family over work; that's for mothers to handle.",1,Parental Leave Bias
"She won't be taking time off for parenting; that's not a woman's role.",1,Parental Leave Bias
"He won't need paternity leave; that's typically for mothers.",1,Parental Leave Bias
"She won't consider parental leave; that's for the fathers to worry about.",1,Parental Leave Bias
"He won't be taking time off for family; that's not a man's role.",1,Parental Leave Bias
"She's too career-focused to take parental leave; that's for fathers.",1,Parental Leave Bias
"He won't prioritize family over work; that's for mothers to handle.",1,Parental Leave Bias
"She won't be taking time off for parenting; that's not a woman's role.",1,Parental Leave Bias
"He won't need paternity leave; that's typically for mothers.",1,Parental Leave Bias
"She won't consider parental leave; that's for the fathers to worry about.",1,Parental Leave Bias
"He won't be taking time off for family; that's not a man's role.",1,Parental Leave Bias
"She's too career-focused to take parental leave; that's for fathers.",1,Parental Leave Bias
"He won't prioritize family over work; that's for mothers to handle.",1,Parental Leave Bias
"She won't be taking time off for parenting; that's not a woman's role.",1,Parental Leave Bias
"He won't need paternity leave; that's typically for mothers.",1,Parental Leave Bias
"She won't consider parental leave; that's for the fathers to worry about.",1,Parental Leave Bias
"He won't be taking time off for family; that's not a man's role.",1,Parental Leave Bias
"She's too career-focused to take parental leave; that's for fathers.",1,Parental Leave Bias
"He won't prioritize family over work; that's for mothers to handle.",1,Parental Leave Bias
"She won't be taking time off for parenting; that's not a woman's role.",1,Parental Leave Bias
"He won't need paternity leave; that's typically for mothers.",1,Parental Leave Bias
"She won't consider parental leave; that's for the fathers to worry about.",1,Parental Leave Bias
"He won't be taking time off for family; that's not a man's role.",1,Parental Leave Bias
"She's too career-focused to take parental leave; that's for fathers.",1,Parental Leave Bias
"He won't prioritize family over work; that's for mothers to handle.",1,Parental Leave Bias
"She won't be taking time off for parenting; that's not a woman's role.",1,Parental Leave Bias
"He won't need paternity leave; that's typically for mothers.",1,Parental Leave Bias
"She won't consider parental leave; that's for the fathers to worry about.",1,Parental Leave Bias
"He won't be taking time off for family; that's not a man's role.",1,Parental Leave Bias
"She's too career-focused to take parental leave; that's for fathers.",1,Parental Leave Bias
"He won't prioritize family over work; that's for mothers to handle.",1,Parental Leave Bias
"She won't be taking time off for parenting; that's not a woman's role.",1,Parental Leave Bias
"He won't need paternity leave; that's typically for mothers.",1,Parental Leave Bias
"She won't consider parental leave; that's for the fathers to worry about.",1,Parental Leave Bias
"He won't be taking time off for family; that's not a man's role.",1,Parental Leave Bias
"She's too career-focused to take parental leave; that's for fathers.",1,Parental Leave Bias
"He won't prioritize family over work; that's for mothers to handle.",1,Parental Leave Bias
"She won't be taking time off for parenting; that's not a woman's role.",1,Parental Leave Bias
"He won't need paternity leave; that's typically for mothers.",1,Parental Leave Bias
"She won't consider parental leave; that's for the fathers to worry about.",1,Parental Leave Bias
"He won't be taking time off for family; that's not a man's role.",1,Parental Leave Bias
"She's too career-focused to take parental leave; that's for fathers.",1,Parental Leave Bias
"He won't prioritize family over work; that's for mothers to handle.",1,Parental Leave Bias
"She won't be taking time off for parenting; that's not a woman's role.",1,Parental Leave Bias
"He won't need paternity leave; that's typically for mothers.",1,Parental Leave Bias
"She won't consider parental leave; that's for the fathers to worry about.",1,Parental Leave Bias
"He won't be taking time off for family; that's not a man's role.",1,Parental Leave Bias
"She's too career-focused to take parental leave; that's for fathers.",1,Parental Leave Bias
"He won't prioritize family over work; that's for mothers to handle.",1,Parental Leave Bias
"She won't be taking time off for parenting; that's not a woman's role.",1,Parental Leave Bias
"He won't need paternity leave; that's typically for mothers.",1,Parental Leave Bias
"She won't consider parental leave; that's for the fathers to worry about.",1,Parental Leave Bias
"He won't be taking time off for family; that's not a man's role.",1,Parental Leave Bias
"She's too career-focused to take parental leave; that's for fathers.",1,Parental Leave Bias
"He won't prioritize family over work; that's for mothers to handle.",1,Parental Leave Bias
"She won't be taking time off for parenting; that's not a woman's role.",1,Parental Leave Bias
"He won't need paternity leave; that's typically for mothers.",1,Parental Leave Bias
"She won't consider parental leave; that's for the fathers to worry about.",1,Parental Leave Bias
"He won't be taking time off for family; that's not a man's role.",1,Parental Leave Bias
"She's too career-focused to take parental leave; that's for fathers.",1,Parental Leave Bias
"He won't prioritize family over work; that's for mothers to handle.",1,Parental Leave Bias
"She won't be taking time off for parenting; that's not a woman's role.",1,Parental Leave Bias
"He won't need paternity leave; that's typically for mothers.",1,Parental Leave Bias
"She won't consider parental leave; that's for the fathers to worry about.",1,Parental Leave Bias
"He won't be taking time off for family; that's not a man's role.",1,Parental Leave Bias
"She's too career-focused to take parental leave; that's for fathers.",1,Parental Leave Bias
"He won't prioritize family over work; that's for mothers to handle.",1,Parental Leave Bias
"She won't be taking time off for parenting; that's not a woman's role.",1,Parental Leave Bias
"He won't need paternity leave; that's typically for mothers.",1,Parental Leave Bias
"She won't consider parental leave; that's for the fathers to worry about.",1,Parental Leave Bias
"He won't be taking time off for family; that's not a man's role.",1,Parental Leave Bias
"She's too career-focused to take parental leave; that's for fathers.",1,Parental Leave Bias
"He won't prioritize family over work; that's for mothers to handle.",1,Parental Leave Bias
"She won't be taking time off for parenting; that's not a woman's role.",1,Parental Leave Bias
"He won't need paternity leave; that's typically for mothers.",1,Parental Leave Bias
"She won't consider parental leave; that's for the fathers to worry about.",1,Parental Leave Bias
"He won't be taking time off for family; that's not a man's role.",1,Parental Leave Bias
"She's too career-focused to take parental leave; that's for fathers.",1,Parental Leave Bias
"He won't prioritize family over work; that's for mothers to handle.",1,Parental Leave Bias
"She won't be taking time off for parenting; that's not a woman's role.",1,Parental Leave Bias
"He won't need paternity leave; that's typically for mothers.",1,Parental Leave Bias
"She won't consider parental leave; that's for the fathers to worry about.",1,Parental Leave Bias
"He won't be taking time off for family; that's not a man's role.",1,Parental Leave Bias
"She's too career-focused to take parental leave; that's for fathers.",1,Parental Leave Bias
"He won't prioritize family over work; that's for mothers to handle.",1,Parental Leave Bias
"She won't be taking time off for parenting; that's not a woman's role.",1,Parental Leave Bias
"He won't need paternity leave; that's typically for mothers.",1,Parental Leave Bias
"She won't consider parental leave; that's for the fathers to worry about.",1,Parental Leave Bias
"He won't be taking time off for family; that's not a man's role.",1,Parental Leave Bias
"She's too career-focused to take parental leave; that's for fathers.",1,Parental Leave Bias
"He won't prioritize family over work; that's for mothers to handle.",1,Parental Leave Bias
"She won't be taking time off for parenting; that's not a woman's role.",1,Parental Leave Bias
"He won't need paternity leave; that's typically for mothers.",1,Parental Leave Bias
"She won't consider parental leave; that's for the fathers to worry about.",1,Parental Leave Bias
"He's assertive and she's bossy.",1,Double Standards
"She's confident and he's arrogant.",1,Double Standards
"He's determined and she's stubborn.",1,Double Standards
"She's independent and he's rebellious.",1,Double Standards
"He's a leader and she's controlling.",1,Double Standards
"She's ambitious and he's pushy.",1,Double Standards
"He's experienced and she's set in her ways.",1,Double Standards
"She's focused and he's obsessive.",1,Double Standards
"He's passionate and she's emotional.",1,Double Standards
"She's detail-oriented and he's nitpicky.",1,Double Standards
"He's knowledgeable and she's opinionated.",1,Double Standards
"She's decisive and he's bossy.",1,Double Standards
"He's confident and she's self-centered.",1,Double Standards
"She's assertive and he's domineering.",1,Double Standards
"He's dedicated and she's obsessed.",1,Double Standards
"She's efficient and he's controlling.",1,Double Standards
"He's organized and she's controlling.",1,Double Standards
"She's assertive and he's pushy.",1,Double Standards
"He's strong-willed and she's stubborn.",1,Double Standards
"She's a leader and he's bossy.",1,Double Standards
"He's confident and she's pushy.",1,Double Standards
"She's ambitious and he's aggressive.",1,Double Standards
"He's assertive and she's domineering.",1,Double Standards
"She's independent and he's rebellious.",1,Double Standards
"He's determined and she's stubborn.",1,Double Standards
"She's experienced and he's set in his ways.",1,Double Standards
"He's focused and she's obsessive.",1,Double Standards
"She's detail-oriented and he's nitpicky.",1,Double Standards
"He's knowledgeable and she's opinionated.",1,Double Standards
"She's decisive and he's bossy.",1,Double Standards
"He's confident and she's self-centered.",1,Double Standards
"She's assertive and he's domineering.",1,Double Standards
"He's dedicated and she's obsessed.",1,Double Standards
"She's efficient and he's controlling.",1,Double Standards
"He's organized and she's controlling.",1,Double Standards
"She's assertive and he's pushy.",1,Double Standards
"He's strong-willed and she's stubborn.",1,Double Standards
"He's a leader and she's bossy.",1,Double Standards
"She's confident and he's pushy.",1,Double Standards
"She's ambitious and he's aggressive.",1,Double Standards
"He's assertive and she's domineering.",1,Double Standards
"She's independent and he's rebellious.",1,Double Standards
"He's determined and she's stubborn.",1,Double Standards
"She's experienced and he's set in his ways.",1,Double Standards
"He's focused and she's obsessive.",1,Double Standards
"She's detail-oriented and he's nitpicky.",1,Double Standards
"He's knowledgeable and she's opinionated.",1,Double Standards
"She's decisive and he's bossy.",1,Double Standards
"He's confident and she's self-centered.",1,Double Standards
"She's assertive and he's domineering.",1,Double Standards
"He's dedicated and she's obsessed.",1,Double Standards
"She's efficient and he's controlling.",1,Double Standards
"He's organized and she's controlling.",1,Double Standards
"She's assertive and he's pushy.",1,Double Standards
"He's strong-willed and she's stubborn.",1,Double Standards
"She's a talented nurse.",1,Occupational Bias
"He's a skilled engineer.",1,Occupational Bias
"They're an excellent teacher.",0,Not Applicable
"The proficient programmer efficiently coded the software.",0,Not Applicable
"Exploring the ancient ruins, she marveled at the history.",0,Not Applicable
"He's the breadwinner, while she takes care of the home.",1,Role Stereotyping
"She's a successful businesswoman, managing a thriving company.",1,Role Stereotyping
"The dedicated firefighter bravely rescued people from the burning building.",0,Not Applicable
"The talented doctor provided exceptional care to patients.",0,Not Applicable
"Teaching is a nurturing profession, so she's a great fit for it.",1,Occupational Bias
"He's a software engineer; coding must come naturally to him.",1,Occupational Bias
"She's a loving mother, ensuring her children are well-cared for.",1,Maternal Bias
"He's an involved father, actively participating in parenting duties.",0,Not Applicable
"He'll lead the meeting as the chairman of the committee.",1,Language Bias
"They'll preside over the meeting as the chairperson of the committee.",0,Not Applicable
"She's too attractive to be a scientist.",1,Appearance and Beauty Bias
"He's an accomplished scientist, making significant contributions to research.",0,Not Applicable
"He won't take parental leave; that's not something men do.",1,Parental Leave Bias
"She took parental leave to spend quality time with her newborn.",1,Parental Leave Bias
"He's confident and assertive; she's pushy and aggressive.",1,Double Standards
"They both demonstrated confidence and assertiveness in the negotiation.",0,Not Applicable
"Exploring the dense forests, they marveled at the biodiversity.",0,Not Applicable
"The skilled engineer efficiently designed the new software.",0,Not Applicable
"The capable manager successfully led the team to achieve the project goals.",0,Not Applicable
"The innovative scientist made groundbreaking discoveries in the field.",0,Not Applicable
"The dedicated police officer worked tirelessly to maintain law and order.",0,Not Applicable
"The talented musician performed a mesmerizing piece at the concert.",0,Not Applicable
"The experienced pilot safely navigated the aircraft through turbulent weather.",0,Not Applicable
"The skilled chef prepared a delightful feast for the guests.",0,Not Applicable
"She's a talented nurse.",1,Occupational Bias
"He's a skilled engineer.",1,Occupational Bias
"They're an excellent teacher.",0,Not Applicable
"The proficient programmer efficiently coded the software.",0,Not Applicable
"Exploring the ancient ruins, she marveled at the history.",0,Not Applicable
"He's the breadwinner, while she takes care of the home.",1,Role Stereotyping
"She's a successful businesswoman, managing a thriving company.",1,Role Stereotyping
"The dedicated firefighter bravely rescued people from the burning building.",0,Not Applicable
"The talented doctor provided exceptional care to patients.",0,Not Applicable
"Teaching is a nurturing profession, so she's a great fit for it.",1,Occupational Bias
"He's a software engineer; coding must come naturally to him.",1,Occupational Bias
"She's a loving mother, ensuring her children are well-cared for.",1,Maternal Bias
"He's an involved father, actively participating in parenting duties.",0,Not Applicable
"He'll lead the meeting as the chairman of the committee.",1,Language Bias
"They'll preside over the meeting as the chairperson of the committee.",0,Not Applicable
"She's too attractive to be a scientist.",1,Appearance and Beauty Bias
"He's an accomplished scientist, making significant contributions to research.",0,Not Applicable
"He won't take parental leave; that's not something men do.",1,Parental Leave Bias
"She took parental leave to spend quality time with her newborn.",1,Parental Leave Bias
"He's confident and assertive; she's pushy and aggressive.",1,Double Standards
"They both demonstrated confidence and assertiveness in the negotiation.",0,Not Applicable
"Exploring the dense forests, they marveled at the biodiversity.",0,Not Applicable
"The skilled engineer efficiently designed the new software.",0,Not Applicable
"The capable manager successfully led the team to achieve the project goals.",0,Not Applicable
"The innovative scientist made groundbreaking discoveries in the field.",0,Not Applicable
"The dedicated police officer worked tirelessly to maintain law and order.",0,Not Applicable
"The talented musician performed a mesmerizing piece at the concert.",0,Not Applicable
"The experienced pilot safely navigated the aircraft through turbulent weather.",0,Not Applicable
"The skilled chef prepared a delightful feast for the guests.",0,Not Applicable
"She's an outstanding carpenter.",1,Occupational Bias
"He's a compassionate nurse.",1,Occupational Bias
"They're a skilled software developer.",0,Not Applicable
"The efficient project manager successfully led the team.",0,Not Applicable
"Enjoying the beautiful scenery, they marveled at the natural wonders.",0,Not Applicable
"He's the primary caregiver, managing household responsibilities.",1,Role Stereotyping
"She's a skilled construction worker, excelling in her trade.",1,Occupational Bias
"The skilled paramedic provided life-saving assistance at the scene.",0,Not Applicable
"Engineering requires precision, so he's a great fit for the role.",1,Occupational Bias
"She's a talented mathematician, contributing to groundbreaking research.",0,Not Applicable
"He's the head of the household, making crucial decisions for the family.",1,Role Stereotyping
"The language used is gender-neutral, promoting inclusivity.",0,Not Applicable
"She's a skilled mechanic, diagnosing and fixing complex issues.",1,Occupational Bias
"He's a nurturing childcare provider, fostering a supportive environment.",1,Occupational Bias
"The leader of the organization will address the team.",0,Not Applicable
"Assuming that only mothers should take parental leave perpetuates parental leave bias.",6,Data
"The confident and assertive manager inspired the team.",0,Not Applicable
"He won't need parental leave; that's for mothers.",1,Parental Leave Bias
"She'll probably want to stay home with the kids; it's a mother's instinct.",1,Maternal Bias
"The teacher is caring and nurturing; she's perfect for the role.",1,Occupational Bias
"He's too emotional to be a CEO.",1,Invalid Data
"She's a competent CEO, leading the company with strategic vision.",0,Not Applicable
"He's assertive; she's bossy.",1,Double Standards
"The talented artist showcased their paintings at the exhibition.",0,Not Applicable
"He's a skilled carpenter; woodworking comes naturally to him.",1,Occupational Bias
"She's a talented engineer, excelling in her field.",0,Not Applicable
"He's a compassionate social worker, dedicated to helping others.",0,Not Applicable
"The skilled pilot safely landed the plane during challenging weather.",0,Not Applicable
"The proficient chef prepared a delectable meal for the guests.",0,Not Applicable
"The talented musician played a mesmerizing piece on the violin.",0,Not Applicable
"The experienced firefighter bravely battled the raging inferno.",0,Not Applicable
"She's an exceptional scientist, making groundbreaking discoveries.",0,Not Applicable
"He's an involved parent, sharing parenting duties equally.",0,Not Applicable
"The dedicated police officer maintained law and order with diligence.",0,Not Applicable
"The skilled artist created a stunning sculpture that captivated onlookers.",0,Not Applicable
"He's a compassionate nurse, providing excellent patient care.",1,Occupational Bias
"She's a skilled engineer, designing innovative solutions.",0,Not Applicable
"He's the head of the committee; he'll make the final decision.",1,Language Bias
"They'll lead the committee as co-chairs.",0,Not Applicable
"She's too attractive to be a scientist.",1,Appearance and Beauty Bias
"He's an accomplished scientist, making significant contributions to research.",0,Not Applicable
"He won't take parental leave; that's not something men do.",1,Parental Leave Bias
"She took parental leave to spend quality time with her newborn.",1,Parental Leave Bias
"He's confident and assertive; she's pushy and aggressive.",1,Double Standards
"They both demonstrated confidence and assertiveness in the negotiation.",0,Not Applicable
"Exploring the dense forests, they marveled at the biodiversity.",0,Not Applicable
"The skilled engineer efficiently designed the new software.",0,Not Applicable
"The capable manager successfully led the team to achieve the project goals.",0,Not Applicable
"The innovative scientist made groundbreaking discoveries in the field.",0,Not Applicable
"The dedicated police officer worked tirelessly to maintain law and order.",0,Not Applicable
"The talented musician performed a mesmerizing piece at the concert.",0,Not Applicable
"The experienced pilot safely navigated the aircraft through turbulent weather.",0,Not Applicable
"The skilled chef prepared a delightful feast for the guests.",0,Not Applicable
"She's an outstanding carpenter.",1,Occupational Bias
"He's a compassionate nurse.",1,Occupational Bias
"They're a skilled software developer.",0,Not Applicable
"The efficient project manager successfully led the team.",0,Not Applicable
"Enjoying the beautiful scenery, they marveled at the natural wonders.",0,Not Applicable
"He's the primary caregiver, managing household responsibilities.",1,Role Stereotyping
"She's a skilled construction worker, excelling in her trade.",1,Occupational Bias
"The skilled paramedic provided life-saving assistance at the scene.",0,Not Applicable
"Engineering requires precision, so he's a great fit for the role.",1,Occupational Bias
"She's a talented mathematician, contributing to groundbreaking research.",0,Not Applicable
"He's the head of the household, making crucial decisions for the family.",1,Role Stereotyping
"The language used is gender-neutral, promoting inclusivity.",0,Not Applicable
"She's a skilled mechanic, diagnosing and fixing complex issues.",1,Occupational Bias
"He's a nurturing childcare provider, fostering a supportive environment.",1,Occupational Bias
"The leader of the organization will address the team.",0,Not Applicable
"Assuming that only mothers should take parental leave.",5, Data
"The confident and assertive manager inspired the team.",0,Not Applicable
"He won't need parental leave; that's for mothers.",1,Parental Leave Bias
"She'll probably want to stay home with the kids; it's a mother's instinct.",1,Maternal Bias
"The teacher is caring and nurturing; she's perfect for the role.",1,Occupational Bias
"He's too emotional to be a CEO.",1,Invalid Data
"She's a competent CEO, leading the company with strategic vision.",0,Not Applicable
"He's assertive; she's bossy.",1,Double Standards
"The talented artist showcased their paintings at the exhibition.",0,Not Applicable
"He's a skilled carpenter; woodworking comes naturally to him.",1,Occupational Bias
"She's a talented engineer, excelling in her field.",0,Not Applicable
"He's a compassionate social worker, dedicated to helping others.",0,Not Applicable
"The skilled pilot safely landed the plane during challenging weather.",0,Not Applicable
"The proficient chef prepared a delectable meal for the guests.",0,Not Applicable
"The talented musician played a mesmerizing piece on the violin.",0,Not Applicable
"The experienced firefighter bravely battled the raging inferno.",0,Not Applicable
"She's an exceptional scientist, making groundbreaking discoveries.",0,Not Applicable
"He's an involved parent, sharing parenting duties equally.",0,Not Applicable
"The dedicated police officer maintained law and order with diligence.",0,Not Applicable
"The skilled artist created a stunning sculpture that captivated onlookers.",0,Not Applicable
"The curious child explored the colorful playground.",0,Not Applicable
"The friendly cashier greeted customers with a warm smile.",0,Not Applicable
"The diligent student completed all assignments on time.",0,Not Applicable
"The helpful librarian assisted patrons with finding books.",0,Not Applicable
"The skilled gardener tended to the vibrant flowers in the garden.",0,Not Applicable
"The responsible pet owner ensured the dog received proper care.",0,Not Applicable
"The attentive teacher provided guidance to students during the project.",0,Not Applicable
"The innovative engineer designed an efficient and sustainable solution.",0,Not Applicable
"The reliable mechanic fixed the car, ensuring it ran smoothly.",0,Not Applicable
"The organized office manager maintained a clutter-free workspace.",0,Not Applicable
"The boy is playing with his toy.",0,Not Applicable
"She loves reading books in the library.",1,Not Applicable
"He enjoys eating ice cream on a hot day.",0,Not Applicable
"The girl is riding her bicycle in the park.",1,Not Applicable
"He is studying for his upcoming exams.",0,Not Applicable
"She likes to draw pictures of animals.",1,Not Applicable
"The boy and his sister are sharing a pizza.",0,Not Applicable
"She is practicing the piano after school.",1,Not Applicable
"He and his friends are playing soccer.",0,Not Applicable
"The girl is helping her mom in the kitchen.",1,Not Applicable
"He is building a sandcastle on the beach.",0,Not Applicable
"She enjoys watching movies with her family.",1,Not Applicable
"The boy is learning to ride a skateboard.",0,Not Applicable
"She and her brother are going to the zoo.",1,Not Applicable
"He is playing video games with his friends.",0,Not Applicable
"The girl is dancing in the school talent show.",1,Not Applicable
"She loves going to the amusement park.",1,Not Applicable
"He and his dad are fixing a broken chair.",0,Not Applicable
"The boy is planting flowers in the garden.",0,Not Applicable
"She is taking care of her pet dog.",1,Not Applicable
